airline,year_month,freight_in_tonnes,rolling_average_freight_in_tonnes
Samoa Airways,2018-07-01,0.24,0.17466666666666666
Samoa Airways,2018-08-01,0.587,0.37033333333333335
Samoa Airways,2018-09-01,0.387,0.4046666666666667
Samoa Airways,2018-10-01,0.576,0.5166666666666666
Samoa Airways,2018-11-01,0.081,0.34800000000000003
Samoa Airways,2018-12-01,0.0,0.21899999999999997
Scoot Tigerair,2018-01-01,365.844,695.1786666666667
Scoot Tigerair,2018-02-01,379.233,534.6226666666668
Scoot Tigerair,2018-03-01,653.334,466.137
Scoot Tigerair,2018-04-01,294.74,442.4356666666666
Scoot Tigerair,2018-05-01,269.601,405.89166666666665
Scoot Tigerair,2018-06-01,519.595,361.31200000000007
Scoot Tigerair,2018-07-01,393.012,394.06933333333336
Scoot Tigerair,2018-08-01,423.018,445.2083333333333
Scoot Tigerair,2018-09-01,408.393,408.141
Scoot Tigerair,2018-10-01,547.537,459.64933333333335
Scoot Tigerair,2018-11-01,434.758,463.5626666666667
Scoot Tigerair,2018-12-01,370.264,450.853
Sichuan Airlines,2018-01-01,107.935,116.38066666666667
Sichuan Airlines,2018-02-01,102.876,114.903
Sichuan Airlines,2018-03-01,97.613,102.80799999999999
Sichuan Airlines,2018-04-01,113.823,104.77066666666667
Sichuan Airlines,2018-05-01,64.062,91.83266666666667
Sichuan Airlines,2018-06-01,54.437,77.44066666666667
Sichuan Airlines,2018-07-01,118.783,79.094
Sichuan Airlines,2018-08-01,57.41,76.87666666666667
Sichuan Airlines,2018-09-01,63.611,79.93466666666667
Sichuan Airlines,2018-10-01,91.089,70.70333333333333
Sichuan Airlines,2018-11-01,73.62,76.10666666666667
Sichuan Airlines,2018-12-01,67.123,77.27733333333335
Silk Air,2018-01-01,22.492,24.66566666666667
Silk Air,2018-02-01,26.568,23.511666666666674
Silk Air,2018-03-01,27.107,25.389000000000006
Silk Air,2018-04-01,24.536,26.070333333333338
Silk Air,2018-05-01,23.223,24.95533333333334
Silk Air,2018-06-01,22.401,23.38666666666667
Silk Air,2018-07-01,28.472,24.69866666666667
Silk Air,2018-08-01,22.808,24.560333333333336
Silk Air,2018-09-01,18.576,23.28533333333334
Silk Air,2018-10-01,20.826,20.736666666666668
Silk Air,2018-11-01,19.004,19.468666666666675
Silk Air,2018-12-01,17.556,19.12866666666667
Singapore Airlines,2018-01-01,6585.6759999999995,7677.174666666666
Singapore Airlines,2018-02-01,6130.3330000000005,6749.7593333333325
Singapore Airlines,2018-03-01,7473.498,6729.835666666666
Singapore Airlines,2018-04-01,7340.533,6981.454666666667
Singapore Airlines,2018-05-01,7932.409000000001,7582.146666666667
Singapore Airlines,2018-06-01,7943.976,7738.9726666666675
Singapore Airlines,2018-07-01,8301.101,8059.162
Singapore Airlines,2018-08-01,8325.136,8190.071
Singapore Airlines,2018-09-01,8137.798,8254.678333333333
Singapore Airlines,2018-10-01,8015.533,8159.488999999999
Singapore Airlines,2018-11-01,8416.413,8189.914666666667
Singapore Airlines,2018-12-01,7358.6669999999995,7930.204333333332
Solomon Airlines,2018-01-01,6.895,6.861333333332727
Solomon Airlines,2018-02-01,3.652,5.521999999999394
Solomon Airlines,2018-03-01,7.081,5.875999999999394
Solomon Airlines,2018-04-01,4.241,4.991333333332727
Solomon Airlines,2018-05-01,4.172,5.164666666666061
Solomon Airlines,2018-06-01,8.448,5.620333333332727
Solomon Airlines,2018-07-01,1.397,4.672333333332728
Solomon Airlines,2018-08-01,8.577,6.140666666666061
Solomon Airlines,2018-09-01,4.321,4.764999999999394
Solomon Airlines,2018-10-01,5.472,6.123333333332727
Solomon Airlines,2018-11-01,3.844,4.545666666666061
Solomon Airlines,2018-12-01,2.402,3.9059999999993944
South African Airways,2018-01-01,101.016,95.88466666666606
South African Airways,2018-02-01,89.66,90.40066666666605
South African Airways,2018-03-01,87.317,92.66433333333272
South African Airways,2018-04-01,85.291,87.42266666666605
South African Airways,2018-05-01,134.309,102.30566666666607
South African Airways,2018-06-01,63.751,94.45033333333272
South African Airways,2018-07-01,97.022,98.36066666666606
South African Airways,2018-08-01,148.876,103.21633333333273
South African Airways,2018-09-01,93.301,113.06633333333274
South African Airways,2018-10-01,109.216,117.1309999999994
South African Airways,2018-11-01,109.655,104.05733333333274
South African Airways,2018-12-01,76.207,98.35933333333271
SriLankan Airlines,2018-01-01,158.269,186.13533333333274
SriLankan Airlines,2018-02-01,184.491,171.24866666666605
SriLankan Airlines,2018-03-01,204.06,182.27333333333272
SriLankan Airlines,2018-04-01,214.524,201.0249999999994
SriLankan Airlines,2018-05-01,187.376,201.98666666666608
SriLankan Airlines,2018-06-01,158.418,186.77266666666605
SriLankan Airlines,2018-07-01,239.773,195.1889999999994
SriLankan Airlines,2018-08-01,256.405,218.19866666666607
SriLankan Airlines,2018-09-01,250.51,248.8959999999994
SriLankan Airlines,2018-10-01,278.446,261.7869999999994
SriLankan Airlines,2018-11-01,252.958,260.6379999999994
SriLankan Airlines,2018-12-01,213.216,248.20666666666605
Tasman Cargo Airlines,2018-01-01,372.84,424.47466666666605
Tasman Cargo Airlines,2018-02-01,357.684,387.77399999999943
Tasman Cargo Airlines,2018-03-01,428.186,386.23666666666605
Tasman Cargo Airlines,2018-04-01,352.124,379.3313333333328
Tasman Cargo Airlines,2018-05-01,349.214,376.50799999999936
Tasman Cargo Airlines,2018-06-01,266.972,322.7699999999994
Tasman Cargo Airlines,2018-07-01,457.057,357.747666666666
Tasman Cargo Airlines,2018-08-01,557.201,427.0766666666661
Tasman Cargo Airlines,2018-09-01,420.651,478.30299999999943
Tasman Cargo Airlines,2018-10-01,540.008,505.95333333333275
Tasman Cargo Airlines,2018-11-01,572.58,511.07966666666607
Tasman Cargo Airlines,2018-12-01,562.282,558.2899999999994
Thai Airways International,2018-01-01,1157.581,1335.4543333333327
Thai Airways International,2018-02-01,1253.077,1244.2063333333326
Thai Airways International,2018-03-01,1533.803,1314.8203333333327
Thai Airways International,2018-04-01,1307.978,1364.9526666666661
Thai Airways International,2018-05-01,1495.886,1445.8889999999992
Thai Airways International,2018-06-01,1434.936,1412.9333333333327
Thai Airways International,2018-07-01,1507.721,1479.5143333333326
Thai Airways International,2018-08-01,1581.931,1508.1959999999992
Thai Airways International,2018-09-01,1537.271,1542.3076666666664
Thai Airways International,2018-10-01,1689.22,1602.8073333333325
Thai Airways International,2018-11-01,1256.858,1494.4496666666662
Thai Airways International,2018-12-01,1177.016,1374.3646666666662
Tianjin Airlines,2018-01-01,17.906,48.55699999999939
Tianjin Airlines,2018-02-01,35.329,42.30366666666606
Tianjin Airlines,2018-03-01,33.061,28.765333333332723
Tianjin Airlines,2018-04-01,69.667,46.01899999999939
Tianjin Airlines,2018-05-01,57.644,53.45733333333272
Tianjin Airlines,2018-06-01,179.56,102.29033333333273
Tianjin Airlines,2018-07-01,170.11,135.7713333333327
Tianjin Airlines,2018-08-01,227.354,192.34133333333273
Tianjin Airlines,2018-09-01,194.743,197.40233333333273
Tianjin Airlines,2018-10-01,237.239,219.77866666666606
Tianjin Airlines,2018-11-01,205.68,212.55399999999938
Tianjin Airlines,2018-12-01,309.142,250.68699999999941
United Airlines,2018-01-01,447.902,498.91699999999946
United Airlines,2018-02-01,466.675,474.7913333333327
United Airlines,2018-03-01,608.083,507.55333333333266
United Airlines,2018-04-01,470.636,515.1313333333327
United Airlines,2018-05-01,651.034,576.5843333333327
United Airlines,2018-06-01,785.151,635.6069999999994
United Airlines,2018-07-01,816.568,750.9176666666659
United Airlines,2018-08-01,669.017,756.9119999999994
United Airlines,2018-09-01,584.04,689.8749999999994
United Airlines,2018-10-01,601.231,618.0959999999994
United Airlines,2018-11-01,520.772,568.6809999999995
United Airlines,2018-12-01,511.446,544.4829999999994
United Parcel Service,2018-01-01,1491.47,1706.6459999999995
United Parcel Service,2018-02-01,1570.26,1569.1303333333326
United Parcel Service,2018-03-01,1755.427,1605.7189999999994
United Parcel Service,2018-04-01,1758.35,1694.6789999999992
United Parcel Service,2018-05-01,2033.8,1849.1923333333325
United Parcel Service,2018-06-01,1837.126,1876.4253333333327
United Parcel Service,2018-07-01,1636.14,1835.688666666666
United Parcel Service,2018-08-01,1796.316,1756.5273333333328
United Parcel Service,2018-09-01,1719.937,1717.4643333333327
United Parcel Service,2018-10-01,1940.736,1818.9963333333326
United Parcel Service,2018-11-01,1447.053,1702.575333333333
United Parcel Service,2018-12-01,1404.977,1597.5886666666663
Vietnam Airlines,2018-01-01,745.365,823.4693333333327
Vietnam Airlines,2018-02-01,833.718,782.8689999999993
Vietnam Airlines,2018-03-01,848.905,809.3293333333328
Vietnam Airlines,2018-04-01,948.114,876.9123333333328
Vietnam Airlines,2018-05-01,886.198,894.4056666666661
Vietnam Airlines,2018-06-01,873.789,902.7003333333328
Vietnam Airlines,2018-07-01,880.212,880.0663333333328
Vietnam Airlines,2018-08-01,934.759,896.2533333333328
Vietnam Airlines,2018-09-01,995.323,936.764666666666
Vietnam Airlines,2018-10-01,897.861,942.6476666666659
Vietnam Airlines,2018-11-01,898.625,930.6029999999993
Vietnam Airlines,2018-12-01,782.378,859.6213333333327
Virgin Australia,2018-01-01,793.1759999999999,946.195666666666
Virgin Australia,2018-02-01,705.0160000000001,822.8839999999994
Virgin Australia,2018-03-01,923.5359999999998,807.242666666666
Virgin Australia,2018-04-01,966.311,864.9543333333327
Virgin Australia,2018-05-01,995.7499999999999,961.865666666666
Virgin Australia,2018-06-01,1186.326,1049.4623333333327
Virgin Australia,2018-07-01,1516.5449999999998,1232.8736666666662
Virgin Australia,2018-08-01,1793.7269999999999,1498.8659999999993
Virgin Australia,2018-09-01,1370.2820000000002,1560.184666666666
Virgin Australia,2018-10-01,1440.847,1534.9519999999993
Virgin Australia,2018-11-01,1470.953,1427.3606666666662
Virgin Australia,2018-12-01,1296.616,1402.8053333333326
Xiamen Airlines,2018-01-01,405.411,428.3826666666661
Xiamen Airlines,2018-02-01,230.289,348.7543333333327
Xiamen Airlines,2018-03-01,421.725,352.4749999999994
Xiamen Airlines,2018-04-01,493.076,381.6966666666661
Xiamen Airlines,2018-05-01,462.141,458.9806666666661
Xiamen Airlines,2018-06-01,429.244,461.4869999999994
Xiamen Airlines,2018-07-01,565.85,485.74499999999944
Xiamen Airlines,2018-08-01,462.732,485.9419999999994
Xiamen Airlines,2018-09-01,452.296,493.62599999999946
Xiamen Airlines,2018-10-01,458.562,457.8633333333328
Xiamen Airlines,2018-11-01,495.361,468.7396666666661
Xiamen Airlines,2018-12-01,427.542,460.4883333333327
